,date,ticker,marketcap
50929,2021-11-10,TPL,10379.1
50930,2021-11-09,TPL,11011.7
50931,2021-11-08,TPL,10731.7
50932,2021-11-05,TPL,10593.4
50933,2021-11-04,TPL,9603.9
50934,2021-11-03,TPL,9876.6
50935,2021-11-02,TPL,9978.5
50936,2021-11-01,TPL,10181.3
50937,2021-10-29,TPL,9874.1
50938,2021-10-28,TPL,9788.2
50939,2021-10-27,TPL,9635.5
50940,2021-10-26,TPL,10089.8
50941,2021-10-25,TPL,10029.9
50942,2021-10-22,TPL,9814.5
50943,2021-10-21,TPL,9621.0
50944,2021-10-20,TPL,9852.8
50945,2021-10-19,TPL,9709.0
50946,2021-10-18,TPL,9496.8
50947,2021-10-15,TPL,9476.3
50948,2021-10-14,TPL,9417.8
50949,2021-10-13,TPL,9263.0
50950,2021-10-12,TPL,9146.4
50951,2021-10-11,TPL,9287.5
50952,2021-10-08,TPL,9407.1
50953,2021-10-07,TPL,9193.5
50954,2021-10-06,TPL,9010.9
50955,2021-10-05,TPL,9186.7
50956,2021-10-04,TPL,8929.2
50957,2021-10-01,TPL,9093.7
50958,2021-09-30,TPL,9375.5
50959,2021-09-29,TPL,9617.7
50960,2021-09-28,TPL,10360.4
50961,2021-09-27,TPL,10597.6
50962,2021-09-24,TPL,10090.0
50963,2021-09-23,TPL,10132.8
50964,2021-09-22,TPL,9824.6
50965,2021-09-21,TPL,9697.4
50966,2021-09-20,TPL,9636.8
50967,2021-09-17,TPL,10081.3
50968,2021-09-16,TPL,9633.1
50969,2021-09-15,TPL,9710.9
50970,2021-09-14,TPL,9419.9
50971,2021-09-13,TPL,9632.2
50972,2021-09-10,TPL,9465.8
50973,2021-09-09,TPL,9510.4
50974,2021-09-08,TPL,9497.4
50975,2021-09-07,TPL,9448.5
50976,2021-09-03,TPL,10046.3
50977,2021-09-02,TPL,10294.2
50978,2021-09-01,TPL,10503.4
50979,2021-08-31,TPL,10541.3
50980,2021-08-30,TPL,10972.9
50981,2021-08-27,TPL,10969.7
50982,2021-08-26,TPL,10706.3
50983,2021-08-25,TPL,10984.6
50984,2021-08-24,TPL,10794.8
50985,2021-08-23,TPL,10574.4
50986,2021-08-20,TPL,10331.2
50987,2021-08-19,TPL,10266.2
50988,2021-08-18,TPL,10617.0
50989,2021-08-17,TPL,11048.3
50990,2021-08-16,TPL,11234.6
50991,2021-08-13,TPL,11499.9
50992,2021-08-12,TPL,11695.0
50993,2021-08-11,TPL,11561.9
50994,2021-08-10,TPL,11667.4
50995,2021-08-09,TPL,11521.7
50996,2021-08-06,TPL,11472.2
50997,2021-08-05,TPL,11390.9
50998,2021-08-04,TPL,11216.4
50999,2021-08-03,TPL,11517.9
51000,2021-08-02,TPL,11470.2
51001,2021-07-30,TPL,11576.5
51002,2021-07-29,TPL,11347.2
51003,2021-07-28,TPL,11502.9
51004,2021-07-27,TPL,11192.3
51005,2021-07-26,TPL,11604.8
51006,2021-07-23,TPL,11634.2
51007,2021-07-22,TPL,11701.6
51008,2021-07-21,TPL,11820.7
51009,2021-07-20,TPL,11568.8
51010,2021-07-19,TPL,10845.7
51011,2021-07-16,TPL,10980.4
51012,2021-07-15,TPL,11271.9
51013,2021-07-14,TPL,11460.9
51014,2021-07-13,TPL,11851.8
51015,2021-07-12,TPL,11988.6
51016,2021-07-09,TPL,11710.9
51017,2021-07-08,TPL,11324.5
51018,2021-07-07,TPL,11473.9
51019,2021-07-06,TPL,12015.1
